,yield,MAXssssC_x,MINssssC_x,MDEC-34_y,MAXsF_x,MINsF_x,MDEC-13_y,MINaaS_x,MAXaaS_x,GGI1_y,MAXssssC_y,MINssssC_y,ETA_eta_BR_y,AATSC0d_y,mZagreb1_y,ETA_eta_B_y,GATS5Z_x,ATSC4Z_y,ATSC4m_y,Xc-3d_y,ATSC2v_y,AATSC2v_y,MATS2Z_x,C4SP3_y,MATS2v_y,ATSC2m_y,Xc-6dv_y,ATSC2Z_y,GATS3p_y,ATSC4dv_y,MDEC-11_y,NsCH3_y,ATSC2p_y,Xc-4dv_y,Xc-3dv_y,MIC1_x,SsCH3_y,ATSC2i_y,AATSC1d_y,MATS2p_y,AATSC2p_y,PEOE_VSA8_y,AETA_eta_BR_y,GATS3i_y,MATS2i_y,AATSC2i_y,JGT10_y,BCUTd-1h_y,ATSC7d_y,MIC2_x
0,81.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122,-0.7175430475690526,-0.8723181665782656,-1.0159372919832852,-0.5773502691896258,-0.8978970954121761,-0.5695327115914115,-0.5822002134108877,-0.5613250240464474,0.0575941439399234,-0.8036490007543358,,-0.9592158333821706,-0.4504929173658401,-0.5943225179210394,-0.529205968366265,-0.9329128857739803,-0.9022944680802586,-0.6119681087839567,-1.5282189633077217,-0.4481959054838935,-0.4699435734099274,-0.7363667536415281,0.2276032472260759,0.181808602718161,-0.831111068966018,-0.8095174625363377,0.5063280734108818,-0.6811097044224986,-0.5874511502556145,-0.869562740380428
1,14.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122,-0.7175430475690526,-0.8723181665782656,-1.0159372919832852,-0.5773502691896258,-0.8978970954121761,-0.5695327115914115,-0.5822002134108877,-0.5613250240464474,0.0575941439399234,-0.8036490007543358,,-0.9592158333821706,-0.4504929173658401,-0.5943225179210394,-0.529205968366265,-0.9329128857739803,-0.9022944680802586,-0.6119681087839567,-1.5282189633077217,-0.4481959054838935,-0.4699435734099274,-0.7363667536415281,0.2276032472260759,0.181808602718161,-0.831111068966018,-0.8095174625363377,0.5063280734108818,-0.6811097044224986,-0.5874511502556145,-0.869562740380428
2,74.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122,-0.2167035756028407,-0.0640384345930802,-1.0159372919832852,-0.5773502691896258,-0.0615250668159588,0.1061503041493162,-0.5822002134108877,0.1357707904951177,0.8379321555860876,-0.2238587936399396,,-0.269958947119533,-0.159605241991744,-0.5943225179210394,-0.5727485084895779,-0.9329128857739803,-0.2288294229322015,-0.0643343131383803,-0.2836922565077694,-0.0421323831254464,-0.0332870664500307,-1.8647515566903248,0.2276032472260759,0.7795917942153003,0.0486076977628661,0.0675681115779069,0.5063280734108818,-0.6811097044224986,-0.1032603013636343,-0.869562740380428
3,15.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122,-0.2167035756028407,-0.0640384345930802,-1.0159372919832852,-0.5773502691896258,-0.0615250668159588,0.1061503041493162,-0.5822002134108877,0.1357707904951177,0.8379321555860876,-0.2238587936399396,,-0.269958947119533,-0.159605241991744,-0.5943225179210394,-0.5727485084895779,-0.9329128857739803,-0.2288294229322015,-0.0643343131383803,-0.2836922565077694,-0.0421323831254464,-0.0332870664500307,-1.8647515566903248,0.2276032472260759,0.7795917942153003,0.0486076977628661,0.0675681115779069,0.5063280734108818,-0.6811097044224986,-0.1032603013636343,-0.869562740380428
4,90.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
5,81.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
6,43.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
7,88.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
8,95.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
9,65.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
