entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
1p,[*]C1=CC=C(O)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,0
,,,,,,,,,,,
1,[*]C1=CC=CC=C1,H,OC1=CC(O)=CC=C1C(O)=O,5,toluene,O2,90,2,0,0,4
2,[*]C1=CC=CC=C1,H,OC1=CC=CC(O)=C1C(O)=O,5,toluene,O2,90,2,0,0,6
3,[*]C1=CC=CC=C1,H,OC1=CC=CC=C1C(O)=O,5,toluene,O2,90,2,0,0,3
4,[*]C1=CC=CC=C1,H,OC1=CC=C(C(O)=O)C=C1,5,toluene,O2,90,2,0,0,3
,,,,,,,,,,,
1,[*]C1=CC=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,87
2,[*]C1=CC=C(N)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,76
3,[*]C1=CC=C(OC)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,93
4,[*]C1=CC=C(Cl)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,90
5,[*]C1=CC=C(F)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,91
6,[*]C1=CC=C(C(F)(F)F)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,48,0,0,78
7,[*]C1=CC=CC(Cl)=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,48,0,0,72
8,[*]C1=CC=CC(I)=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,70
9,[*]C1=CC=CC=C1C,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,86
10,[*]C1=CC=CC=C1OC,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,73
11,[*]C1=C(C=CC=C2)C2=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,81
12,[*]C1=CC(OCO2)=C2C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,91
13,[*]C1=CC=CO1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,80
14,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,0
15,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,0
16,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,CH3CN,O2,rt,20,0,0,0
,,,,,,,,,,,
