,entry,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),収率(%),R2_C,R2_H,under_O2,under_air,solvent_CH3CN,solvent_DMF,solvent_MeCN,solvent_MeOH,solvent_toluene
51,7,[*]C1=CC=CC=C1,OC1=C(CC(O)=O)C=CC=C1,5.0,90,24.0,32.0,0,1,1,0,0,0,0,0,1
52,8,[*]C1=CC=CC=C1,CC(O)=O,5.0,90,24.0,3.0,0,1,1,0,0,0,0,0,1
53,9,[*]C1=CC=CC=C1,CC1=CC=C(S(=O)(O)=O)C=C1,5.0,90,24.0,0.0,0,1,1,0,0,0,0,0,1
55,1n,[*]C1=CC=C(CO)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,50.0,0,1,1,0,0,0,0,0,1
56,1o,[*]C1=CC=C(C(O)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,40.0,0,1,1,0,0,0,0,0,1
57,1p,[*]C1=CC=C(O)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0,1,1,0,0,0,0,0,1
59,1,[*]C1=CC=CC=C1,OC1=CC(O)=CC=C1C(O)=O,5.0,90,2.0,4.0,0,1,1,0,0,0,0,0,1
60,2,[*]C1=CC=CC=C1,OC1=CC=CC(O)=C1C(O)=O,5.0,90,2.0,6.0,0,1,1,0,0,0,0,0,1
61,3,[*]C1=CC=CC=C1,OC1=CC=CC=C1C(O)=O,5.0,90,2.0,3.0,0,1,1,0,0,0,0,0,1
62,4,[*]C1=CC=CC=C1,OC1=CC=C(C(O)=O)C=C1,5.0,90,2.0,3.0,0,1,1,0,0,0,0,0,1
64,1,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,87.0,0,1,1,0,0,0,1,0,0
65,2,[*]C1=CC=C(N)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,76.0,0,1,1,0,0,0,1,0,0
66,3,[*]C1=CC=C(OC)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,93.0,0,1,1,0,0,0,1,0,0
67,4,[*]C1=CC=C(Cl)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,90.0,0,1,1,0,0,0,1,0,0
68,5,[*]C1=CC=C(F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0,0,0,1,0,0
69,6,[*]C1=CC=C(C(F)(F)F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,78.0,0,1,1,0,0,0,1,0,0
70,7,[*]C1=CC=CC(Cl)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,72.0,0,1,1,0,0,0,1,0,0
71,8,[*]C1=CC=CC(I)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,70.0,0,1,1,0,0,0,1,0,0
72,9,[*]C1=CC=CC=C1C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,86.0,0,1,1,0,0,0,1,0,0
73,10,[*]C1=CC=CC=C1OC,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,73.0,0,1,1,0,0,0,1,0,0
74,11,[*]C1=C(C=CC=C2)C2=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,81.0,0,1,1,0,0,0,1,0,0
75,12,[*]C1=CC(OCO2)=C2C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0,0,0,1,0,0
76,13,[*]C1=CC=CO1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,80.0,0,1,1,0,0,0,1,0,0
81,1,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,10.0,23,48.0,69.0,1,0,1,0,0,1,0,0,0
88,1,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1O,4.0,23,24.0,90.0,0,1,0,1,0,0,0,1,0
89,2,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1N,4.0,23,24.0,5.0,0,1,0,1,0,0,0,1,0
90,3,[*]C1=CC=C(C)C=C1,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,2.0,23,24.0,75.0,0,1,0,1,0,0,0,1,0
94,1,[*]C1=CC=C(OC)C=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,39.0,0,1,1,0,1,0,0,0,0
95,2,[*]C1=CC=C(OC)C=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,64.0,0,1,1,0,1,0,0,0,0
96,3,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,69.0,0,1,1,0,1,0,0,0,0
97,4,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,47.0,0,1,1,0,1,0,0,0,0
98,5,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,63.0,0,1,1,0,1,0,0,0,0
99,6,[*]C1=CC=C(OC)C=C1,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,9.0,0,1,1,0,1,0,0,0,0
100,7,[*]C1=CC=C(OC)C=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,29.0,0,1,1,0,1,0,0,0,0
105,12,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,20.0,23,24.0,91.0,0,1,1,0,1,0,0,0,0
106,13,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,33.0,0,1,1,0,1,0,0,0,0
131,1,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0,0
132,2,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0,0
133,3,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0,0
134,4,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,32.0,1,0,0,1,1,0,0,0,0
135,5,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,46.0,1,0,0,1,1,0,0,0,0
136,6,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,36.0,1,0,0,1,1,0,0,0,0
137,7,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,44.0,1,0,0,1,1,0,0,0,0
