,yield,412_organocatalyst,1948_organocatalyst,302_organocatalyst,1485_organocatalyst,1796_organocatalyst,892_organocatalyst,946_R1-,2006_organocatalyst,280_organocatalyst,1820_R1-,1813_R1-,934_organocatalyst,1214_organocatalyst,1114_R1-,778_organocatalyst,523_R1-,82_R1-,876_organocatalyst,1030_organocatalyst,1034_R1-,737_organocatalyst,1847_R1-,1696_organocatalyst,1622_organocatalyst,352_organocatalyst,1668_R1-,1920_organocatalyst,965_R1-,396_R1-,471_organocatalyst,1537_organocatalyst,1921_R1-,1115_organocatalyst,384_organocatalyst,919_organocatalyst,1939_R1-,1086_R1-,1102_organocatalyst,1332_organocatalyst,1443_organocatalyst,1342_R1-,1048_organocatalyst,704_organocatalyst,8_organocatalyst,967_organocatalyst,230_organocatalyst,1330_organocatalyst,1027_R1-,360_organocatalyst
0,81.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,-1.02854977714827,-0.6611368874743295,-0.9338867994574804,-0.6115256550207915,-0.747735998989331,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-1.9166548504451115,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,1.460603651855885,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.2845961212000713,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-0.2365672759082809,-0.6885284018279777,-0.5770010963149961,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.7920221099758963,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.003800866389178,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,1.8419852580326703,-0.8506901346519857,0.1747945376751021
1,14.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,-1.02854977714827,-0.6611368874743295,-0.9338867994574804,-0.6115256550207915,-0.747735998989331,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-1.9166548504451115,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,1.460603651855885,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.2845961212000713,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-0.2365672759082809,-0.6885284018279777,-0.5770010963149961,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.7920221099758963,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.003800866389178,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,1.8419852580326703,-0.8506901346519857,0.1747945376751021
2,74.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.1833282799751328,-0.6611368874743295,-0.9338867994574804,-0.9871698985021482,0.6516097795580041,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-0.7463137255300847,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.650822219060186,-0.9164987875799856,-1.2905167537990954,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.7719145442737462,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-1.110903756736003,-0.6885284018279777,-0.5770010963149961,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.1135778196510309,-0.2234589939454562,-0.795694608974313,-0.7131049633291543,-0.5447834453280735,-0.8506901346519857,0.303754464079816
3,15.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.1833282799751328,-0.6611368874743295,-0.9338867994574804,-0.9871698985021482,0.6516097795580041,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-0.7463137255300847,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.650822219060186,-0.9164987875799856,-1.2905167537990954,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.7719145442737462,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-1.110903756736003,-0.6885284018279777,-0.5770010963149961,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.1135778196510309,-0.2234589939454562,-0.795694608974313,-0.7131049633291543,-0.5447834453280735,-0.8506901346519857,0.303754464079816
4,90.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.3535102847363504,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-2.027673337625824,-0.6885284018279777,-0.7634947590676697,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.003800866389178,-0.2234589939454562,-2.327172734899945,-0.4349883341796451,-1.421771316027,-0.8506901346519857,0.303754464079816
5,81.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.3535102847363504,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-2.027673337625824,-0.6885284018279777,-0.7634947590676697,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.003800866389178,-0.2234589939454562,-2.327172734899945,-0.4349883341796451,-1.421771316027,-0.8506901346519857,0.303754464079816
6,43.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,-1.0928187612636056,-0.5909100114214836,-0.3535102847363504,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,-0.1994527864327292,-2.027673337625824,-0.6885284018279777,-0.7634947590676697,-1.2602073249264567,-0.4073419446662314,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,0.4584271351446417,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.003800866389178,-0.2234589939454562,-2.327172734899945,-0.4349883341796451,-1.421771316027,-0.8506901346519857,0.303754464079816
7,88.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,0.8586869783581724,-0.5909100114214836,-0.86607332713023,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,0.2260532797975309,0.6315083650112414,-0.6885284018279777,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-0.8506901346519857,0.0660835083509571
8,95.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,0.8586869783581724,-0.5909100114214836,-0.86607332713023,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,0.2260532797975309,0.6315083650112414,-0.6885284018279777,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-0.8506901346519857,0.0660835083509571
9,65.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867,-0.9164987875799856,0.6012870265867295,-0.6413377223079884,0.8586869783581724,-0.5909100114214836,-0.86607332713023,-0.954488976938903,-0.4042426327798996,-0.5645043861840375,-0.8836164276890868,0.2260532797975309,0.6315083650112414,-0.6885284018279777,-0.7634947590676697,0.5014684611218508,-0.2707839124755953,-0.6615162159299324,-0.7547517299176622,-0.4405147496883264,-0.0788467365918495,-0.2787986891986551,-0.7495139252799239,-0.3794411289593564,-1.0132566882780396,-0.2234589939454562,0.2405785526377625,-0.4349883341796451,0.2978148769199431,-0.8506901346519857,0.0660835083509571
10,33.0,-0.5126694600939505,0.2115253334839214,-0.7441178102861326,-0.0408821840097971,0.9954225589695548,-0.5220925545334519,-0.9338867994574804,-0.8209354629356262,-0.6567581566105023,-1.0632291354613486,-0.9548414685938388,-0.5625360024278339,-2.040174334649365,-1.087699647379818,-0.7967303729714664,-1.116867108954793,-0.8596419478719819,-0.4134412410967064,0.909553506652248,-0.9164987875799856,0.0517263338810852,-0.6413377223079884,1.468203565104286,3.2812695664120293,4.296206321278967,-0.954488976938903,-0.5976147823091023,-0.5645043861840375,-0.8836164276890868,2.2370721733663803,-1.3638096034384113,-0.6885284018279777,1.8822982976519012,3.090284340888025,-0.7375877530446572,-0.6615162159299324,-0.7547517299176622,-0.6923998980748326,-0.4564763646443232,1.3080952460308108,-0.7495139252799239,1.5117202249315718,-0.7663254155018129,2.3064325519196154,-0.4436701376433405,4.251264045019258,-0.9990777074682076,-0.8506901346519857,-0.6959263164513213
