"name","yield","temp(â)","time(h)","SLogP_x","ATS1s","AATS0p","AATSC0i","GATS4s","BalabanJ_y"
"30",83,1.120490325,-1.3257951941,-0.3664814033,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
"31",86,1.120490325,-1.3257951941,-0.3664814033,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
"32",87,1.120490325,-1.3257951941,3.1256376831,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
"33",7,1.120490325,-0.1716857086,-0.3897820659,-3.1922742691,0.0576998329,0.1722530656,1.6965511977,-0.4839130992
"34",32,1.120490325,-0.1716857086,-0.3897820659,-2.2385254149,0.1842895616,0.2089642674,2.3729171014,-0.2353095801
"35",80,1.120490325,-0.1716857086,-0.3897820659,-1.3948240991,-0.1298405061,0.0987487173,0.8706604072,0.1600416916
"36",6,1.120490325,-0.1716857086,-0.3897820659,-1.2077427556,-0.3720619381,-0.017202958,0.8472395135,0.2706919491
"37",11,1.120490325,-0.1716857086,-0.3897820659,-1.2077427556,-0.3720619381,-0.017202958,2.8376466458,0.1741647481
"38",32,1.120490325,-0.1716857086,-0.3897820659,-1.0500072463,-0.3720619381,-0.017202958,0.4950040254,-0.0820543758
"39",3,1.120490325,-0.1716857086,-0.3897820659,-3.9626103392,-2.4585027264,-2.5406883592,-2.9225654081,-0.0103073624
"40",0,1.120490325,-0.1716857086,-0.3897820659,-2.9927616858,1.2408394944,1.3675796299,1.0010428627,0.1543358825
"41",50,1.120490325,-1.1159571058,-1.7653339786,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
"42",40,1.120490325,-1.1159571058,-0.2453721449,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
"43",0,1.120490325,-1.1159571058,-1.1874233562,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
"44",4,1.120490325,-1.3257951941,-0.3897820659,-0.5584592418,-0.4070076814,-0.0637475175,0.2282271369,0.2569932916
"45",6,1.120490325,-1.3257951941,-0.3897820659,-0.5511227833,-0.4070076814,-0.0637475175,-0.6215640301,0.5257793423
"46",3,1.120490325,-1.3257951941,-0.3897820659,-1.3948240991,-0.1298405061,0.0987487173,0.8706604072,0.1600416916
"47",3,1.120490325,-1.3257951941,-0.3897820659,-1.4021605576,-0.1298405061,0.0987487173,1.9834663664,-0.1609454394
"48",87,-0.9356018128,-0.3815237969,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"49",76,-0.9356018128,-0.3815237969,-1.5217607721,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"50",93,-0.9356018128,-0.3815237969,-0.3664814033,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"51",90,-0.9356018128,-0.3815237969,1.3805264227,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"52",91,-0.9356018128,-0.3815237969,-0.0129073938,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"53",78,-0.9356018128,1.087342821,2.3705336492,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"54",72,-0.9356018128,1.087342821,1.3805264227,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"55",70,-0.9356018128,-0.3815237969,1.2483087088,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"56",86,-0.9356018128,-0.3815237969,0.4458447233,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"57",73,-0.9356018128,-0.3815237969,-0.3664814033,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"58",81,-0.9356018128,-0.3815237969,2.7346742382,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"59",91,-0.9356018128,-0.3815237969,-1.1248366925,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"60",80,-0.9356018128,-0.3815237969,-1.4924994747,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"61",69,-0.9356018128,1.087342821,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
"62",90,-0.9356018128,-0.1716857086,0.4458447233,-1.5048722977,-0.5955293361,-0.1756839051,2.2701602354,0.2007839982
"63",5,-0.9356018128,-0.1716857086,0.4458447233,-1.5929104605,-0.7354758623,0.8056032415,2.3566515673,0.2007839982
"64",75,-0.9356018128,-0.1716857086,0.4458447233,1.6278271925,0.1589934229,0.2061781494,1.1983316193,-0.3041093779
"65",39,-0.9356018128,1.087342821,-0.3664814033,0.1990375307,-0.0493726165,0.1399668747,0.1008691117,-0.9056949992
"66",64,-0.9356018128,1.087342821,-0.3664814033,-0.5547913427,0.6136151922,0.2632116237,0.7839108922,-0.5271782222
"67",69,-0.9356018128,1.087342821,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"68",47,-0.9356018128,1.087342821,-0.3664814033,1.2023079752,1.4300153596,7.1291077532,0.4803982397,-1.4359580061
"69",63,-0.9356018128,1.087342821,-0.3664814033,1.5654663045,0.9668343364,0.2056045369,0.548447923,-1.5269915974
"70",9,-0.9356018128,1.087342821,-0.3664814033,1.9909855218,-0.5539869703,-0.0862822954,0.7894065035,-0.620310231
"71",29,-0.9356018128,1.087342821,-0.3664814033,2.6769513283,1.5319086426,-0.0444905254,0.7091484488,-1.6415086017
"72",91,-0.9356018128,-0.1716857086,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"73",33,-0.9356018128,1.087342821,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"74",0,0.8136109015,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"75",0,0.8136109015,1.087342821,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"76",0,0.8136109015,1.087342821,-1.1248366925,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"77",32,-0.9356018128,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"78",46,-0.9356018128,1.087342821,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
"79",36,-0.9356018128,1.087342821,-0.3897820659,1.5654663045,0.9668343364,0.2056045369,0.548447923,-1.5269915974
"80",44,-0.9356018128,1.087342821,-0.3897820659,1.2023079752,1.4300153596,7.1291077532,0.4803982397,-1.4359580061
"81",11,-0.9356018128,1.087342821,-0.3897820659,-1.585574002,1.296283833,0.1200543255,1.4104105781,-0.7093161381
"82",40,-0.9356018128,1.087342821,-0.3897820659,1.5654663045,0.9668343364,0.2056045369,0.5498494883,-1.3891562245
"83",21,-0.9356018128,1.087342821,-0.3897820659,0.9528657437,1.1542111227,0.1335751923,1.3839652541,-1.2048727357
