,organocatalyst(mol%),temp(℃),time(h),yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,SpMAD_A,nHetero,nH,nC,ATS2dv,ATS5dv,ATS7d,ATS3Z,ATS5Z,AATS0dv,AATS3dv,AATS4dv,AATS1d,AATS2d,AATS4d,AATS3Z,ATSC0dv,ATSC2dv,ATSC3dv,ATSC4dv,ATSC5dv,ATSC7dv,ATSC0d,ATSC2d,ATSC3d,ATSC4d,ATSC5d,ATSC6d,ATSC7d,ATSC0Z,ATSC3Z,ATSC4Z,ATSC5Z,ATSC6Z,AATSC2dv,AATSC3dv,AATSC4dv,AATSC0d,AATSC1d,AATSC2d,AATSC1Z,AATSC2Z,AATSC4Z,MATS1dv,MATS2dv,MATS3dv,MATS2d,MATS3d,MATS4d,MATS2Z,MATS3Z,MATS4Z,GATS1dv,GATS2dv,GATS3dv,GATS4dv,GATS1d,GATS2d,GATS3d,GATS4d,GATS1Z,GATS2Z,GATS3Z,GATS4Z,BCUTdv-1h,BCUTdv-1l,BCUTd-1h,BCUTd-1l,BCUTZ-1h,BCUTZ-1l,BalabanJ,C2SP2,C3SP2,HybRatio,Xch-6d,Xch-7d,Xc-3d,Xc-5d,Xpc-5d,Xp-5d,AXp-0d,AXp-1d,AXp-2d,AXp-3d,AXp-4d,AXp-5d,NaasC,SsCH3,SaaCH,SaasC,MAXaasC,MINaaCH,MINaasC,ETA_beta,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,AETA_beta_ns_d,AETA_eta_RL,ETA_epsilon_3,ETA_dBeta,fMF,nHBAcc,IC2,IC3,IC4,TIC0,TIC1,SIC3,BIC0,BIC5,CIC0,CIC2,MIC2,ZMIC0,ZMIC1,ZMIC2,ZMIC3,Kier2,Kier3,FilterItLogS,SMR_VSA1,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,VSA_EState9,MDEC-22,MDEC-23,AMID,AMID_C,AMID_O,AMID_X,piPC5,piPC7,TpiPC10,RotRatio,SLogP,SMR,TopoPSA(NO),TopoPSA,GGI3,GGI4,GGI5,JGI1,JGI2,JGI3,JGI4,JGI5,Diameter,TopoShapeIndex,TSRW10,AMW,mZagreb2
0,5.0,90,24.0,81.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
1,5.0,90,12.0,14.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
2,5.0,90,24.0,74.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
3,5.0,90,12.0,15.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
4,5.0,90,24.0,90.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
5,5.0,90,12.0,81.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
6,5.0,90,8.0,43.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
7,5.0,90,12.0,88.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
8,5.0,90,6.0,95.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
9,5.0,90,2.0,65.0,0,1,0,1,1.2457951761043498,1,5,6,60.0,0.0,0.0,172.0,2.0,5.083333333333333,1.4285714285714286,0.0,3.4166666666666665,3.0,1.5833333333333333,8.19047619047619,30.916666666666664,-15.208333333333332,-7.60416666666667,-8.881784197001252e-16,7.520833333333333,0.0,4.916666666666666,-2.208333333333333,-1.104166666666667,-6.106226635438361e-16,1.020833333333333,0.0,0.0,80.91666666666666,-20.187500000000007,-0.1666666666666727,19.9375,0.0,-0.8449074074074073,-0.3621031746031747,-7.401486830834377e-17,0.4097222222222221,-0.0138888888888888,-0.1226851851851851,2.220446049250313e-16,-2.2245370370370368,-0.0138888888888893,-0.0053908355795147,-0.3279424977538185,-0.1405467847516365,-0.2994350282485876,-0.1283292978208233,-1.2419444004281414e-16,-0.3299004462753175,-0.1425628953950272,-0.0020597322348095,0.9339622641509434,1.2255166217430369,1.0419715055833654,0.9043126684636118,1.0254237288135597,1.242937853107345,1.0121065375302665,0.8389830508474577,0.911946446961895,1.2159285959491934,1.0486979549801383,0.9232749742533471,4.047090603027062,-0.0030303236859952,3.0498980881127493,0.9938538479446204,6.303351775350811,-0.002017504624399,2.1229179499593664,6,0,0.0,0.1020620726159657,0.1020620726159657,0.2886751345948128,0.0,0.4330127018922193,0.9010475702906076,0.7304120250174806,0.4848352643024788,0.3428977695614983,0.236730856264669,0.1633391027809415,0.1126309462863259,1,0.0,10.6487962962963,1.5717592592592595,1.5717592592592595,2.060833333333333,1.5717592592592595,9.75,1.3928571428571428,3.75,0.5357142857142857,6.0,0.8571428571428571,0.0,0.4848352643024788,0.4333333333333334,2.25,0.5,0,2.221251836004466,3.188721875540867,3.584962500721156,15.900134529890126,19.80026905978025,0.8894714728255649,0.3391472523734183,0.9175999207018438,2.259951289896979,1.36371066471669,17.300720599490646,20.6313216788204,20.2117330021034,17.008765429902137,12.85238125228366,2.34375,1.5,-1.509722120264747,0.0,0.0,30.33183534230805,0.0,0.0,0.0,30.33183534230805,0.0,0.0,6.06636706846161,0.0,30.33183534230805,0.0,0.4461111111111111,0.0,0.0,0.0,12.220555555555558,0.0,0.0,6.083643418932058,3.041821709466029,1.953832188633769,1.70449672233218,0.0,0.0,4.037553727875356,0.0,5.119489699008338,0.0,0.8612,26.075999999999997,0.0,0.0,0.1875,0.1111111111111111,0.0,0.1428571428571428,0.0555555555555555,0.0375,0.1111111111111111,0.0,4,0.3333333333333333,33.54469758831367,6.419927096666666,1.6666666666666667
