name,ATS1s_SMILES,AATS0p_SMILES,AATSC0i_SMILES,GATS4s_SMILES,BalabanJ_SMILES
structure 1,166.33333333333334,1.341556704587023,1.3251535904798886,0.8906380176757056,3.3428028987088494
structure 2,169.66666666666669,1.3319060965604057,1.3173151992302177,1.0926113880466617,3.301427338616413
structure 3,174.19444444444443,1.3935262017114118,1.3004162202690612,0.9544875317075248,3.352031609534122
structure 4,136.02777777777777,1.3891147104670811,1.422796800795293,0.7870227204398056,3.086450312063397
structure 5,168.47222222222223,1.320274641072538,1.270915292905039,0.4513053142627699,3.553996802409015
structure 6,117.44444444444446,1.3969848393183748,1.3915386758583583,1.0390149074921733,2.7702760793931613
structure 7,151.19444444444446,1.2879875854104634,1.2903454211917178,0.6017596740264518,3.253603137750192
structure 8,172.05555555555557,1.31238719052148,1.2635781986872692,0.6684115627111589,3.589249605443977
structure 9,132.33333333333334,1.3403947787524706,1.3913989853457709,1.101368071964666,2.973343737819451
structure 10,123.63888888888889,1.338044236779486,1.2802877319407284,0.6643113221025632,3.0169424909544915
structure 11,136.94444444444446,1.3922342126192504,1.5104967608285231,0.7368727975540875,3.0021879924214376
structure 12,126.61111111111111,1.2746728465995558,1.4448740597810967,0.7703442940038686,2.8998667445779853
structure 13,147.94444444444443,1.3713858430047876,1.347962120882502,0.6965952002306459,3.1710695534538105
structure 14,137.1388888888889,1.3584770888454598,1.2905957275124589,0.7870865632090815,3.084002674222917
structure 15,138.38888888888889,1.4403951018392762,1.5442981446284194,1.0816418711947229,3.0673992816888496
structure 16,132.16666666666669,1.3701625434583533,1.2962652448233656,0.7481277301672897,2.891058607297181
structure 17,159.97222222222223,1.3241615433335912,1.2696624884717531,0.5723468720027874,3.2341577140080213
structure 18,160.38888888888889,1.3172114847006002,1.3098283100549588,0.5199023223836475,3.354701140925317
structure 19,133.80555555555554,1.3104367889765138,1.3139116543874043,0.6366104247595153,3.0321674132036414
structure 20,128.61111111111111,1.3271704993207274,1.2701718041213284,0.6897585885254456,3.0021879924214376
