,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
43,5.0,90,6.0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.5668,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
44,5.0,90,2.0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,88.55555555555556,1.4566349075937648,1.3331181352651686,0.8542572623887809,2.437159260034696
45,5.0,90,2.0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0.8612,88.66666666666667,1.4566349075937648,1.3331181352651686,0.6238642389959342,2.5511579864899736
46,5.0,90,2.0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0.8612,75.88888888888889,1.507474339318375,1.3529528869040617,1.0284395004722426,2.3960449098608665
47,5.0,90,2.0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0.8612,75.77777777777779,1.507474339318375,1.3529528869040617,1.3301500682128242,2.259902596224093
48,1.5,23,20.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.8612,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
49,1.5,23,20.0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.4434000000000001,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
50,1.5,23,20.0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.8697999999999999,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
51,1.5,23,20.0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.5146,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
52,1.5,23,20.0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.0003,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
