,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%),R2_C,R2_H,R2_Ph,under_Ar,under_O2,under_air
36,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,84.0,0,1,0,0,1,0
37,CC1=CC=CC=C1C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,88.0,0,1,0,0,1,0
38,CC1=CC=CC=C1Cl,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,77.0,0,1,0,0,1,0
39,CC1=CC=CC=C1Br,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,90.0,0,1,0,0,1,0
40,CC1=CC=CC(C)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,90.0,0,1,0,0,1,0
41,CC1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,92.0,0,1,0,0,1,0
42,CC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,5.0,0.0,57.0,0,1,0,0,1,0
43,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,2.0,0.0,94.0,0,1,0,0,1,0
44,CC1=CC=CO1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,5.0,0.0,51.0,0,1,0,0,1,0
45,CC1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,23,48.0,5.0,0.0,56.0,0,1,0,0,1,0
46,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
47,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
48,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,0,1,0,0,0,1
49,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,0.0,0.0,32.0,1,0,0,0,0,1
50,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,46.0,1,0,0,0,0,1
51,CC1=CC=CC=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,36.0,1,0,0,0,0,1
52,CC1=CC=CC=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,44.0,1,0,0,0,0,1
53,CC1=CC=CC=C1,O=C1C=CC2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,11.0,1,0,0,0,0,1
54,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10.0,23,48.0,0.0,0.0,40.0,1,0,0,0,0,1
55,CC1=CC=CC=C1,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,0.0,0.0,21.0,1,0,0,0,0,1
56,CC1=CC=CC=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,0.0,0.0,8.0,1,0,0,0,0,1
57,CC1=CC=CC=C1,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,17.0,1,0,0,0,0,1
58,CC1=CC=CC=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,37.0,1,0,0,0,0,1
59,CC1=CC=CC=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,0.0,0.0,21.0,1,0,0,0,0,1
60,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,48.0,0.0,0.0,21.0,1,0,0,0,0,1
61,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,80,48.0,0.0,0.0,7.0,1,0,0,0,0,1
62,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,0.0,1,0,0,0,0,1
63,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,2.0,1,0,0,0,1,0
64,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0.0,4.0,1,0,0,1,0,0
65,CC1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,15.0,80,48.0,0.0,0.0,14.0,1,0,0,0,0,1
66,CC1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,86.0,1,0,0,0,0,1
67,CC1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,67.0,1,0,0,0,0,1
68,CC1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,69.0,1,0,0,0,0,1
69,CC1=CC=C(F)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,88.0,1,0,0,0,0,1
70,CC1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,80.0,1,0,0,0,0,1
71,CC1=CC=C(Br)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,84.0,1,0,0,0,0,1
72,CC1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,79.0,1,0,0,0,0,1
73,CC1=CC=CC(Br)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,82.0,1,0,0,0,0,1
74,CC1=CC=C(Cl)C(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,90.0,1,0,0,0,0,1
75,CC1=CC=C([No][No])C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,65.0,1,0,0,0,0,1
76,CC1=CC=C(C)C=C1.O=C=O,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,80.0,1,0,0,0,0,1
77,CC1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,76.0,1,0,0,0,0,1
78,CC1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,0.0,0.0,89.0,1,0,0,0,0,1
