entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
2e,CC1=CC=CC=C1C,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,88
2f,CC1=CC=CC=C1Cl,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,77
2g,CC1=CC=CC=C1Br,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,90
2h,CC1=CC=CC(C)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,90
2i,CC1=CC=CC(Cl)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,92
2j,CC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,57
2k,CC1=CC(OCO2)=C2C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,94
2l,CC1=CC=CO1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,5,0,51
2m,CC1=CC=CS1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,5,0,56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,CC1=CC=CC=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,air,80,48,0,0,0
2,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,air,80,48,0,0,0
3,CC1=CC(OCO2)=C2C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,air,80,48,0,0,0
4,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,air,23,48,0,0,32
5,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,23,48,0,0,46
6,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10,air,23,48,0,0,36
7,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10,air,23,48,0,0,44
8,CC1=CC=CC=C1,C,O=C1C=CC2=CC=CC=C2C1=O,10,air,23,48,0,0,11
9,CC1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10,air,23,48,0,0,40
10,CC1=CC=CC=C1,C,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,air,23,48,0,0,21
