,SMILES
100,COC(=O)c1cc(C#N)cc(I)c1O
101,COC(=O)c1cccc(N)c1NCc1ccc(-c2ccccc2C#N)cc1
102,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1
103,COc1cc2c(cc1C)C(C#N)C2
104,CCOC(=O)/C(C#N)=C/Nc1ccc(OC)c(C(=O)OC)c1OC
105,COC(=O)c1ccc(C#N)cc1OC
106,Cc1ccc(C(=O)O)cc1C#N
107,N#CCc1cccc(C(=O)O)c1
108,N#Cc1ccc(Nc2cccc(C(=O)O)c2)cc1
109,N#CCc1ccc(Oc2ccc(C(=O)O)cc2)cc1
110,COC(=O)c1cc(C=C(C#N)C#N)c(OC)cc1OC
111,COc1cc(OC)c(C(=O)OCC#N)cc1OC
112,Cc1cc(C(C)(C)C)ccc1OC(=O)c1ccc(C#N)cc1
113,COc1ccc(CNC(=O)c2ccc(C#N)cc2)cc1C(=O)O
114,CC(C)(C)c1ccc(O)c(NC(=O)c2ccc(C#N)cc2)c1
115,Cc1c(COc2ccccc2C#N)cccc1[N+](=O)[O-]
116,COC(=O)c1ccc(NC(=N)NC#N)cc1O
117,COC(=O)c1cccc(C(C)C#N)c1
118,COC(=O)c1ccc(N)c(C#N)c1
119,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21
120,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
121,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl
122,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
123,CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])c1ccccc1O
124,Cc1ccc(C(C)(C)C)c(O)c1
125,N#CCc1ccc(C(=O)c2ccccc2)cc1O
126,COc1ccc(C(C#N)c2ccc(C(=O)c3ccccc3)cc2)cc1OC
127,CC1(C)Cc2c(C#N)c(N)c3c(c2CO1)C(=O)OC3=O
128,N#CCCc1cccc(C(=O)O)c1
129,CCC[C@H]1CC[C@H](c2ccc(C(=O)Oc3ccc(C#N)cc3)cc2)CC1
130,CCCCC[C@H]1CC[C@H](c2ccc(C(=O)Oc3ccc(C#N)cc3)cc2)CC1
131,CC[C@H]1CC[C@H](c2ccc(C(=O)Oc3ccc(C#N)cc3)cc2)CC1
132,CCCC[C@H]1CC[C@H](c2ccc(C(=O)Oc3ccc(C#N)cc3)cc2)CC1
133,COC(=O)c1cccc(OC)c1CC#N
134,CC(C)(C)c1ccc(C#N)c(O)c1
135,CCOC(=O)c1cc(C#N)ccc1N
136,CC(C)COc1ccc(C(=O)O)cc1C#N
137,CCOC(=O)c1cccc(N)c1NCc1ccc(-c2ccccc2C#N)cc1
138,N#Cc1cc(C(=O)O)ccc1OCc1ccccc1
139,N#Cc1ccc(Oc2ccc(C(=O)OCC(=O)c3cccc([N+](=O)[O-])c3)cc2)cc1C#N
140,COc1ccc(C)cc1NCc1ccc(C)cc1C.O=C(O)C(=O)O
141,COC(=O)c1ccc(C#N)c(O)c1
142,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C
143,N#Cc1cccc(-c2ccc(C=O)c(O)c2)c1
144,COc1c(C(=O)O)cccc1-c1cccc(C#N)c1
145,Cc1cc(C(=O)O)ccc1-c1ccc(C#N)cc1
146,COc1cccc2c1NCCC2.O=C(O)C(=O)O
147,Cc1cc(C(=O)O)ccc1C#N
148,N#Cc1cc(F)c(C(=O)O)cc1[N+](=O)[O-]
149,N#C/C(=C/c1ccc(OCc2cccc(C(=O)O)c2)cc1)c1ccccc1
150,Cc1cc(C#N)c(O)c2c1CCC2
151,N#CCc1ccc(OCc2cccc(N)c2)cc1
152,N#Cc1cc(C(=O)O)ccc1N1CCCC1
153,N#Cc1cccc(OCc2cccc(C(=O)O)c2)c1
154,Cc1ccc(C(C)C)c(OC(=O)c2ccc(C#N)cc2)c1
155,COc1cc(C(C)=O)ccc1COc1ccc(C(=O)OCC#N)cc1OC
156,COc1cc(OC)c(C(=O)OC(C)C#N)cc1OC
157,COC(=O)c1cc(CNCC(O)COc2ccc(C(C)(C)CC(C)(C)C)cc2)ccc1OC
158,C=CCc1ccc(OC(=O)c2cccc(C#N)c2)c(OC)c1
159,COC(=O)c1ccc(C)c(NCC(=O)Nc2ccccc2C#N)c1
160,CN(C)c1cccc(C(=O)OCc2ccccc2C#N)c1
161,COC(=O)c1cccc(NC(=O)c2ccc(C#N)cc2)c1C
162,COc1cc(C#N)ccc1OCc1cccc([N+](=O)[O-])c1
163,COc1cc(OC)c(OC)cc1CNc1cc(C)cc(C)c1.O=C(O)C(=O)O
164,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
165,CC(C)OC(=O)c1ccccc1Oc1cc(C#N)c(C#N)cc1[N+](=O)[O-]
166,COc1cc(C(=O)O)ccc1C#N
167,CCOC(=O)c1cccc(C(C)C#N)c1
168,N#Cc1ccc(Oc2ccc(NC(=O)c3ccccc3C(=O)O)cc2)cc1
169,COc1cc(OC)c(OC)cc1CNc1ccc(C)c(C)c1.O=C(O)C(=O)O
170,COc1ccc(C)cc1NCc1ccc(OC)c(C)c1OC.O=C(O)C(=O)O
171,COc1cc(C)c(CC#N)cc1C
172,COC(=O)c1cccc(CC#N)c1
173,CC[N+](CC)(CC)Cc1ccccc1.O=C([O-])c1ccccc1O
174,Nc1ccccc1.O=C(O)c1ccccc1C(=O)O
175,N#Cc1ccc(-c2cccc(C=O)c2)cc1O
176,N#Cc1ccc(-c2ccc(C(=O)O)c(F)c2)cc1O
177,COc1cc(C(=O)O)cc(-c2ccc(C#N)cc2)c1
178,COC(=O)c1cc(O)cc(-c2cccc(C#N)c2)c1
179,Cc1ccc(C#N)cc1C(=O)O
180,N#Cc1c([N+](=O)[O-])ccc(C(=O)O)c1[N+](=O)[O-]
181,CC(=O)c1cc(C#N)ccc1O
182,Cc1cc(C#N)ccc1Oc1ccc(C(=O)O)cc1
183,N#Cc1cc2c(c(C(=O)O)c1)OCCO2
184,N#Cc1ccc(OCc2cccc(C(=O)O)c2)cc1
185,Cc1c(C#N)c(N)c(-[n+]2ccccc2)c([O-])c1C#N
186,CC(C)(C)c1ccc(C(=O)OC(C#N)Cc2ccc([N+](=O)[O-])cc2)cc1
187,COC(=O)c1cc(CNCc2ccc(Cl)cc2)ccc1OC.O=C(O)C(=O)O
188,CC(C)c1cc(C(=O)OCC(=O)NC(C)(C#N)C(C)C)c(O)c(C(C)C)c1
189,Cc1ccc(C(=O)OCc2ccc(C#N)cc2)cc1O
190,CC(=O)CCc1ccc(Oc2ccc([N+](=O)[O-])cc2C#N)cc1
191,CNc1ccc(C(=O)OCCCC#N)cc1[N+](=O)[O-]
192,CC(=O)Nc1ccc(C(C)=O)cc1OCc1cccc(C#N)c1
193,COc1ccc(C(=O)O)c(OCc2ccc(C#N)cc2)c1
194,Cc1ccc(C(=O)OCC(=O)N(CCC#N)c2ccccc2)c(O)c1
195,NC(C(=O)O)c1cc(O)cc(O)c1
196,Cl.NC(C(=O)O)c1cc(O)cc(O)c1
197,NC(C(=O)O)c1cc(O)cc(O)c1.O=C(O)C(F)(F)F
198,COc1cc(C(C)=O)cc(-c2cc(C(C)=O)cc(OC)c2O)c1O
199,O=C1c2ccccc2C(=O)c2c(NCCc3ccc(O)cc3)ccc(NCCc3ccc(O)cc3)c21
200,CC(C)(C)c1cc(C#N)c(OC(=O)c2ccc(C(F)(F)F)cc2)c(C#N)c1
201,COc1ccc(CC#N)c(C)c1C
202,COC(=O)c1cc(Cl)c(O)c(C#N)c1
203,COC(=O)c1cc([N+](=O)[O-])c(C#N)cc1F
204,COC(=O)C(C(=O)OC)c1ccc(C#N)cc1N
205,CC(=O)c1ccc(O)c(C#N)c1
206,N#CCc1cc(OCc2ccccc2)c(OCc2ccccc2)cc1[N+](=O)[O-]
207,CCc1cc(N)cc(C#N)c1OC
208,N#CCCNc1ccccc1C(=O)O
209,COc1ccc(CNc2ccc(C)c(C)c2)cc1OC.O=C(O)C(=O)O
210,COc1cc(OC)c(OC)cc1CNc1ccc(C)c(C)c1
211,COc1ccc(CNc2cc(C)ccc2C)c(OC)c1C
212,N#Cc1ccc(Oc2ccc(C(=O)OCC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1C#N
213,COC(=O)c1cc2c(c(OC)c1)OC(C#N)CN2
214,COC(=O)c1c(C#N)ccc(OC)c1C
215,COc1ccc(CC#N)cc1N
216,COc1ccc(CC#N)cc1N.Cl
217,O=C(O)c1ccccc1.Oc1cccc(O)c1
218,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)O
219,COC(=O)c1cccc(-c2cccc(C#N)c2)c1OC
220,COC(=O)c1ccc(OC)cc1C#N
221,COC(=O)c1cc(C#N)ccc1C
222,COC(=O)c1c(C#N)ccc(OC)c1OC
223,COc1ccc2c(c1C)CC2C#N
224,Cc1c(O)ccc(C#N)c1N
225,CCCCCc1ccc2c(c1)Cc1cc(OC(=O)c3ccc(C#N)cc3)ccc1-2
226,Cc1cc(OCc2cccc(C#N)c2)ccc1N
227,Cc1cc(OCc2cccc(C#N)c2)ccc1N.Cl
228,Cc1c(C#N)cccc1C(=O)O
229,N#CCc1ccc(OCc2ccccc2N)cc1
230,COc1cc(C(=O)O)c([N+](=O)[O-])cc1OCC#N
231,N#Cc1ccccc1OCc1cccc(C(=O)O)c1
232,COc1cc(OC)c(C(=O)OCC(=O)Nc2ccccc2C#N)cc1OC
233,Cc1cccc(C(=O)OCC(=O)N(CCC#N)c2ccccc2)c1O
234,N#Cc1cc([N+](=O)[O-])ccc1Oc1ccc(C(=O)c2ccc(F)cc2)cc1
235,N#Cc1ccccc1Oc1ccc(C(N)=O)cc1[N+](=O)[O-]
236,COc1cc(C(=O)OCC#N)c([N+](=O)[O-])cc1OC
237,COc1cc(C(=O)Nc2cccc(C#N)c2)cc(OC)c1C
238,CSc1ccc(C(=O)Oc2ccccc2C#N)cc1[N+](=O)[O-]
239,N#Cc1ccc(OC(=O)c2cccc(-n3cccc3)c2)cc1
240,COC(=O)c1c(C)cccc1NC(=O)c1ccc(C#N)cc1
241,N#Cc1cccc(NC(=O)c2ccc3c(c2)COCO3)c1
242,N#Cc1ccc(OCc2cc([N+](=O)[O-])cc3c2OCOC3)cc1
243,COc1ccccc1/C=C(\C#N)c1cc(OC)c(OC)cc1[N+](=O)[O-]
244,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
245,CC(C)c1c(O)cccc1C#N
246,N#CC1(c2ccc(O)c(O)c2)CC1
247,CCOC(=O)c1cccc(CC#N)c1
248,N#CCNc1ccc(C(=O)O)cc1
249,N#Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(C#N)c(C#N)c5)cc4)OC(=O)c4ccccc43)cc2)cc1C#N
250,N#Cc1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc2)cc1
251,Cc1cc(Oc2ccc(C#N)c(C#N)c2)c(C(C)C)cc1C1(c2cc(C(C)C)c(Oc3ccc(C#N)c(C#N)c3)cc2C)OC(=O)c2ccccc21
252,COc1ccc(CNc2ccc(C)c(C)c2)c(OC)c1.O=C(O)C(=O)O
253,COC(=O)c1cc(C(=O)Nc2ccc(C#N)cc2)cc([N+](=O)[O-])c1
254,N#Cc1cc(N)ccc1C(=O)O
255,COc1cc(CC(C#N)C(=O)Nc2cccc(C)c2C)ccc1O
256,CCc1c(OS(C)=O)ccc(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)c1OC
257,N#Cc1ccc(O)c(C=O)c1
258,COc1cc(OC)c(C(N)CO)cc1OC
259,COc1ccc(C(N)CO)c(OC)c1OC
260,N#Cc1cccc(O)c1N
261,Nc1ccccc1.O=C(O)c1ccccc1
262,N#Cc1cc(O)cc(-c2cccc(N)c2)c1
263,Cc1ccc(C(=O)O)c(Oc2ccc(CC#N)cc2)n1
264,COc1ccc(C#N)c(C(=O)O)c1
265,COc1ccc(CC#N)c(C)c1OC
266,COc1ccc(OCC#N)c(C(=O)O)c1
