,yield,412_organocatalyst,1948_organocatalyst,302_organocatalyst,1485_organocatalyst,1796_organocatalyst,892_organocatalyst,946_R1-,2006_organocatalyst,280_organocatalyst,1820_R1-,1813_R1-,934_organocatalyst,1214_organocatalyst,1114_R1-,778_organocatalyst,523_R1-,82_R1-,876_organocatalyst,1030_organocatalyst
0,81.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,-1.02854977714827,-0.6611368874743295,-0.9338867994574804,-0.6115256550207915,-0.747735998989331,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-1.9166548504451115,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
1,14.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,-1.02854977714827,-0.6611368874743295,-0.9338867994574804,-0.6115256550207915,-0.747735998989331,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-1.9166548504451115,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
2,74.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.1833282799751328,-0.6611368874743295,-0.9338867994574804,-0.9871698985021482,0.6516097795580041,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-0.7463137255300847,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.650822219060186
3,15.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.1833282799751328,-0.6611368874743295,-0.9338867994574804,-0.9871698985021482,0.6516097795580041,-1.0632291354613486,-0.9548414685938388,-0.3634476600149043,-0.7463137255300847,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.650822219060186
4,90.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
5,81.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
6,43.0,-1.0418844122229105,-0.5658917597843955,-0.5497712116514781,0.3850738649398101,1.4109025476081418,-0.6611368874743295,-0.9338867994574804,-0.322046320454752,-0.2443524398483393,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
7,88.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
8,95.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
9,65.0,0.7860795190077997,-0.5658917597843955,-0.5497712116514781,0.2231269988235053,0.7585387847191534,0.1507534127897385,-0.9338867994574804,-0.831765574858813,0.1968307319176934,-1.0632291354613486,-0.9548414685938388,-0.6816169632266371,0.0433908039550543,-1.087699647379818,-0.5027093945162604,-1.116867108954793,-0.8596419478719819,-0.5880827047105909,-0.0921655525425867
