,yield,MAXssssC_x,MINssssC_x,MDEC-34_y,MAXsF_x,MINsF_x,MDEC-13_y,MINaaS_x,MAXaaS_x,GGI1_y,MAXssssC_y,MINssssC_y,ETA_eta_BR_y,AATSC0d_y,mZagreb1_y,ETA_eta_B_y,GATS5Z_x,ATSC4Z_y,ATSC4m_y,Xc-3d_y
0,81.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122
1,14.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122
2,74.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122
3,15.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122
4,90.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804
5,81.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804
6,43.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804
7,88.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078
8,95.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078
9,65.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078
