,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),389_R1-,891_R1-,1057_R1-,1199_R1-,1625_R1-,1858_R1-,1_organocatalyst,84_organocatalyst,114_organocatalyst,314_organocatalyst,322_organocatalyst,389_organocatalyst,456_organocatalyst,586_organocatalyst,695_organocatalyst,728_organocatalyst,736_organocatalyst,745_organocatalyst,781_organocatalyst,807_organocatalyst,875_organocatalyst,1057_organocatalyst,1088_organocatalyst,1160_organocatalyst,1199_organocatalyst,1416_organocatalyst,1476_organocatalyst,1602_organocatalyst,1607_organocatalyst,1750_organocatalyst,1917_organocatalyst
63,5.0,0,0,0,0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0
64,75.0,0,0,0,0,-1.4070502546681396,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0
65,39.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
66,64.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
67,69.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
68,47.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
69,63.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0
70,9.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
71,29.0,0,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
72,91.0,0,1,1,0,3.4380967092325845,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
73,33.0,0,1,1,0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
74,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
75,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
