,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst
43,0.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
44,4.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
45,6.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
46,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1
47,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
48,87.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
49,76.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
50,93.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
51,90.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
52,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
53,78.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
54,72.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
55,70.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
56,86.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
