,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),598_R1-,2040_R1-,1_organocatalyst,3_organocatalyst,224_organocatalyst,232_organocatalyst,321_organocatalyst,380_organocatalyst,428_organocatalyst,488_organocatalyst,598_organocatalyst,808_organocatalyst,823_organocatalyst,857_organocatalyst,1077_organocatalyst,1085_organocatalyst,1219_organocatalyst,1731_organocatalyst,2017_organocatalyst,2040_organocatalyst
12,84.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
13,87.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
14,85.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
15,85.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
16,86.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
17,84.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
18,68.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
19,88.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
20,85.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
21,68.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
22,87.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
23,37.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
24,9.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
25,84.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
26,86.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
27,39.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
28,88.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
29,83.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
30,83.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
31,86.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
32,87.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
33,7.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
34,32.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
35,80.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
36,6.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
37,11.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
38,32.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
39,3.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,50.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
42,40.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
43,0.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
44,4.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
45,6.0,0,1,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
