,yield,organocatalyst(mol%),temp(℃),time(h),704_R1-,1013_R1-,35_organocatalyst,51_organocatalyst,120_organocatalyst,173_organocatalyst,281_organocatalyst,413_organocatalyst,527_organocatalyst,579_organocatalyst,599_organocatalyst,728_organocatalyst,863_organocatalyst,905_organocatalyst,1076_organocatalyst,1128_organocatalyst,1138_organocatalyst,1144_organocatalyst,1196_organocatalyst,1234_organocatalyst,1307_organocatalyst,1763_organocatalyst,1902_organocatalyst,1911_organocatalyst,1993_organocatalyst
35,80.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,32.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,3.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
41,50.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
42,40.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
43,0.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
44,4.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
45,6.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
46,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
